cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
314,995.4,663.2,92.0021,92.0082,91.9310,0.0712,0.0772,0.0060
315,999.6,329.8,92.0079,92.0140,91.9369,0.0711,0.0771,0.0060
316,1006.3,400.9,92.0137,92.0198,91.9424,0.0713,0.0774,0.0060
317,995.6,419.0,92.0195,92.0256,91.9478,0.0717,0.0777,0.0060
318,999.8,420.1,92.0253,92.0314,91.9532,0.0721,0.0781,0.0060
319,1000.0,445.6,92.0311,92.0371,91.9532,0.0779,0.0839,0.0060
320,999.8,454.6,92.0369,92.0429,91.9645,0.0724,0.0784,0.0060
321,999.9,419.9,92.0427,92.0487,91.9699,0.0728,0.0788,0.0060
322,1000.1,349.8,92.0484,92.0545,91.9753,0.0731,0.0791,0.0060
323,1002.1,402.3,92.0542,92.0602,91.9812,0.0730,0.0790,0.0060
324,998.5,393.5,92.0600,92.0660,91.9866,0.0734,0.0794,0.0060
325,1000.1,415.5,92.0658,92.0718,91.9921,0.0737,0.0797,0.0060
326,1002.0,426.2,92.0715,92.0775,91.9974,0.0741,0.0801,0.0060
327,999.0,388.5,92.0773,92.0833,92.0033,0.0740,0.0801,0.0060
328,999.8,422.0,92.0830,92.0891,92.0087,0.0743,0.0804,0.0060
329,1000.6,414.7,92.0888,92.0948,92.0143,0.0745,0.0806,0.0060
330,999.6,345.0,92.0945,92.1006,92.0198,0.0748,0.0808,0.0060
331,1001.8,387.9,92.1003,92.1063,92.0255,0.0748,0.0808,0.0060
332,998.2,406.5,92.1060,92.1121,92.0307,0.0753,0.0813,0.0060
333,1000.2,404.0,92.1118,92.1178,92.0357,0.0761,0.0821,0.0060
334,1000.2,409.1,92.1175,92.1235,92.0406,0.0769,0.0829,0.0060
